id;name;etat
AdobeARMservice;Adobe Acrobat Update Service;STOPPED
AdobeFlashPlayerUpdateSvc;Adobe Flash Player Update Service;STOPPED
ADPSvc;ADPSvc;STOPPED
ALG;Service de la passerelle de la couche Application;STOPPED
AMD Crash Defender Service;AMD Crash Defender Service;RUNNING
AppIDSvc;Identité de l'application;RUNNING
Appinfo;Informations d'application;RUNNING
AppMgmt;Gestion d'applications;STOPPED
AppReadiness;Préparation des applications;RUNNING
AppVClient;Microsoft App-V Client;STOPPED
AppXSvc;Service de déploiement AppX (AppXSVC);RUNNING
ApxSvc;Service proxy de périphérique audio virtuel Windows;STOPPED
AssignedAccessManagerSvc;Service AssignedAccessManager;STOPPED
AudioEndpointBuilder;Générateur de points de terminaison du service Audio Windows;RUNNING
Audiosrv;Audio Windows;RUNNING
autotimesvc;Heure cellulaire;STOPPED
AxInstSV;Programme d'installation ActiveX (AxInstSV);STOPPED
BDESVC;Service de chiffrement de lecteur BitLocker;RUNNING
BFE;Moteur de filtrage de base;RUNNING
BITS;Service de transfert intelligent en arrière-plan;RUNNING
BrokerInfrastructure;Service d'infrastructure des tâches en arrière-plan;RUNNING
BTAGService;Service de passerelle audio Bluetooth;STOPPED
BthAvctpSvc;Service AVCTP;STOPPED
bthserv;Service de prise en charge Bluetooth;STOPPED
camsvc;Service Gestionnaire d'accès aux fonctionnalités;RUNNING
CDPSvc;Service de plateforme des appareils connectés;RUNNING
CertPropSvc;Propagation du certificat;RUNNING
ClickToRunSvc;Microsoft Office Click-to-Run Service;RUNNING
ClipSVC;Service de licences de client (ClipSVC);RUNNING
cloudidsvc;Service d'identité de Microsoft Cloud;STOPPED
COMSysApp;Application système COM+;STOPPED
CoreMessagingRegistrar;CoreMessaging;RUNNING
cplspcon;Intel(R) Content Protection HDCP Service;RUNNING
CryptSvc;Services de chiffrement;RUNNING
CscService;Fichiers hors connexion;STOPPED
csc_swgagent;Cisco Secure Client - Umbrella SWG Agent;STOPPED
csc_umbrellaagent;Cisco Secure Client - Umbrella Agent;RUNNING
csc_vpnagent;Cisco Secure Client - AnyConnect VPN Agent;RUNNING
DcomLaunch;Lanceur de processus serveur DCOM;RUNNING
dcsvc;Service de configuration (DC) déclaré;STOPPED
defragsvc;Optimiser les lecteurs;STOPPED
DeviceAssociationService;Service d'association de périphérique;STOPPED
DeviceInstall;Service d'installation de périphérique;STOPPED
DevQueryBroker;Service Broker de découverte en arrière-plan DevQuery;STOPPED
Dhcp;Client DHCP;RUNNING
diagsvc;Diagnostic Execution Service;STOPPED
DiagTrack;Expériences des utilisateurs connectés et télémétrie;RUNNING
DialogBlockingService;DialogBlockingService;STOPPED
DispBrokerDesktopSvc;Service de stratégie d'affichage;RUNNING
DisplayEnhancementService;Service d'amélioration de l'affichage;STOPPED
DmEnrollmentSvc;Service d'inscription de la gestion des périphériques;STOPPED
dmwappushservice;Service de routage de messages Push du protocole WAP (Wireless Application Protocol) de gestion des appareils;STOPPED
Dnscache;Client DNS;RUNNING
DoSvc;Optimisation de livraison;RUNNING
dot3svc;Configuration automatique de réseau câblé;RUNNING
DPS;Service de stratégie de diagnostic;RUNNING
dptftcs;Intel(R) Dynamic Tuning Technology Telemetry Service;RUNNING
DsmSvc;Gestionnaire d'installation de périphérique;RUNNING
DsSvc;Service de partage des données;RUNNING
DusmSvc;Consommation des données;RUNNING
EapHost;Protocole EAP (Extensible Authentication Protocol);RUNNING
edgeupdate;Microsoft Edge Update Service (edgeupdate);STOPPED
edgeupdatem;Microsoft Edge Update Service (edgeupdatem);STOPPED
EFS;Système de fichiers EFS (Encrypting File System);RUNNING
embeddedmode;Mode incorporé;STOPPED
EntAppSvc;Service de gestion des applications d'entreprise;STOPPED
EPIntegrationService;TEHTRIS Endpoint Integration Service;RUNNING
EPProtectedService;TEHTRIS Endpoint Protected Service;RUNNING
EPRedline;TEHTRIS Endpoint Redline Service;RUNNING
EPSecurityService;TEHTRIS Endpoint Security Service;RUNNING
EPUpdateService;TEHTRIS Endpoint Update Service;RUNNING
EsaAppIdSvc;SES Evolution Application identifier Service;RUNNING
EsaCommSvc;SES Evolution Communication Service;RUNNING
EsaDiagSrvSvc;SES Evolution Diagnostic Server Service;STOPPED
EsaGuardSvc;SES Evolution Guard Service;RUNNING
EsaGuiSrvSvc;SES Evolution GUI Server Service;RUNNING
EsaInjectSvc;SES Evolution Injection Service;RUNNING
EsaLogSvc;SES Evolution Logging Service;RUNNING
EsaPolicySvc;SES Evolution Policy Service;RUNNING
EsaResponseSvc;SES Evolution Response Service;RUNNING
EsaScriptSvc;SES Evolution Script Service;RUNNING
EsaUpdateSvc;SES Evolution Update Service;STOPPED
EsaUsbCtrlSvc;SES Evolution USB Control Service;RUNNING
EsaWirelessCtrlSvc;SES Evolution Wireless Control Service;RUNNING
EventLog;Journal d'événements Windows;RUNNING
EventSystem;Système d'événement COM+;RUNNING
EvidianSENS;Enterprise Access Management Session Manager;RUNNING
EvidianWGSS;Enterprise Access Management Security Services;RUNNING
fdPHost;Hôte du fournisseur de découverte de fonctions;STOPPED
FDResPub;Publication des ressources de découverte de fonctions;STOPPED
fhsvc;Service d'historique des fichiers;STOPPED
FileSyncHelper;FileSyncHelper;STOPPED
FontCache;Service de cache de police Windows;RUNNING
FontCache3.0.0.0;Cache de police de Windows Presentation Foundation 3.0.0.0;STOPPED
FrameServer;Serveur de trame de la Caméra Windows;STOPPED
FrameServerMonitor;Moniteur de serveur de trame Caméra Windows;STOPPED
FusionInventory-Agent;FusionInventory Agent;RUNNING
GameInputSvc;GameInput Service;STOPPED
gpsvc;Client de stratégie de groupe;RUNNING
GraphicsPerfSvc;GraphicsPerfSvc;STOPPED
hidserv;Service du périphérique d'interface utilisateur;STOPPED
hpatchmon;Hotpatch Monitoring Service;STOPPED
HvHost;Service d'hôte HV;RUNNING
icssvc;Service Point d'accès sans fil mobile Windows;STOPPED
igccservice;Intel(R) Graphics Command Center Service;RUNNING
IKEEXT;Modules de génération de clés IKE et AuthIP;RUNNING
InstallService;Installation du service Microsoft Store;RUNNING
Intel(R) Platform License Manager Service;Intel(R) Platform License Manager Service;STOPPED
IntelAudioService;Intel(R) Audio Service;RUNNING
InventorySvc;Service d'Appraisal inventaire et compatibilité;STOPPED
ipfsvc;Intel(R) Innovation Platform Framework Service;RUNNING
iphlpsvc;Assistance IP;RUNNING
IpxlatCfgSvc;Service de configuration de conversion IP;STOPPED
jhi_service;Intel(R) Dynamic Application Loader Host Interface Service;RUNNING
KeyIso;Isolation de clé CNG;RUNNING
KtmRm;Service KtmRm pour Distributed Transaction Coordinator;STOPPED
LanmanServer;Serveur;RUNNING
LanmanWorkstation;Station de travail;RUNNING
